StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,CONSENT_2,EXP1_ARTICLE4_First Click,EXP1_ARTICLE4_Last Click,EXP1_ARTICLE4_Page Submit,EXP1_ARTICLE4_Click Count,EXP1ARM1_COMP1,EXP1ARM1_COMP2,EXP1ARM2_ARTICLE4_First Click,EXP1ARM2_ARTICLE4_Last Click,EXP1ARM2_ARTICLE4_Page Submit,EXP1ARM2_ARTICLE4_Click Count,EXP1ARM2_COMP1,EXP1ARM2_COMP2,VACCINE_1,VACCINE_1_1,VACCINE_1_1,VACCINE_2_1,VACCINE_2_2,VACCINE_2_3,VACCINE_2_4,VACCINE_2_5,VACCINE_2_6,VACCINE_3,VACCINE_4,VACCINE_5_1,VACCINE_5_2,VACCINE_5_3,VACCINE_5_4,VACCINE_5_5,VACCINE_5_6,VACCINE_5_7,VACCINE_5_8,VACCINE_5_9,VACCINE_5_10,VACCINE_6,VACCINE_7,VACCINE_8,VACCINE_9_1,VACCINE_9_2,VACCINE_9_3,VACCINE_9_4,VACCINE_9_5,VACCINE_9_6,VACCINE_10_1,VACCINE_10_2,VACCINE_10_3,VACCINE_10_4,VACCINE_10_5,VACCINE_10_6,VACCINE_10_7,VACCINE_10_8,VACCINE_11_1,VACCINE_11_2,VACCINE_11_3,VACCINE_11_4,VACCINE_11_5,VACCINE_11_6,VACCINE_11_7,VACCINE_11_8,VACCINE_12,VACCINE_13,EXP2ARM1,EXP2ARM2,EXP2CONTROL,EXP3ARM1,EXP3CONTROL,DELIVERY_1,DELIVERY_2,DELIVERY_3,DELIVERY_4,DELIVERY_5,DELIVERY_6,DELIVERY_7,BLM_1,BLM_2,BLM_3,BLM_4,BLM_5,BLM_6_1,BLM_6_2,BLM_6_3,BLM_6_4,BLM_7,BLM_8,BLM_9,BLM_10,BLM_11,SD_1_1,SD_1_2,SD_1_3,SD_1_4,SD_1_5,SD_1_6,SD_1_7,SD_1_8,SD_1_9,SD_1_10,SD_2_1,SD_2_2,SD_2_3,SD_2_4,STIMULUS_1,STIMULUS_2,STIMULUS_3,STIMULUS_4,STIMULUS_4_5_TEXT,STIMULUS_5,STIMULUS_5_9_TEXT,STIMULUS_6,STIMULUS_7,STIMULUS_7_9_TEXT,STIMULUS_8,M4A_1,M4A_2,M4A_2_9_TEXT,M4A_3,M4A_4,M4A_5_1,M4A_5_2,M4A_6,M4A_6_4_TEXT,M4A_7,M4A_7_9_TEXT,M4A_8,MEDIA_1,MEDIA_2,MEDIA_2_6_TEXT,TRUST_1,TRUST_2,TRUST_3,HEALTH_1,HEALTH_2,HEALTH_2_11_TEXT,HEALTH_3,HEALTH_4_1,HEALTH_4_2,HEALTH_4_3,HEALTH_4_4,HEALTH_4_5,HEALTH_4_6,HEALTH_4_7,HEALTH_4_8,HEALTH_4_9,HEALTH_5,HEALTH_6,HEALTH_7,EXPOSURE_1_1,EXPOSURE_1_2,EXPOSURE_1_3,EXPOSURE_2,EXPOSURE_2_1,EXPOSURE_2_2,EXPOSURE_3,EXPOSURE_4,EXPOSURE_5,EXPOSURE_6,FOOD_1,FOOD_2,MENTAL_1,MENTAL_2,CHILD_1,CHILD_1_1,CHILD_1_2,CHILD_1_2_5_TEXT,CHILD_2,CHILD_2_1,CHILD_2_2,CHILD_2_3,CHILD_2_4,CHILD_2_4_1,CHILD_2_4_1_6_TEXT,CHILD_2_5,CHILD_2_5_1_TEXT,CHILD_2_6,CHILD_2_6_5_TEXT,CHILD_2_6_7_TEXT,CHILD_2_7,CHILD_2_8,CHILD_2_9,CHILD_2_10,CHILD_2_11,CHILD_2_12,CHILD_2_13,CHILD_2_14,CHILD_2_15,CHILD_2_15_VACCINE,CHILD_3,CHILD_2_16_1,CHILD_2_16_2,CHILD_2_16_3,CHILD_2_16_4,CHILD_2_16_5,CHILD_2_16_6,CHILD_4,CHILD_5,CHILD_6,CHILD_6_1,CHILD_6_1_5_TEXT,CHILD_7,CHILD_7_1,IDEOLOGY_1,IDEOLOGY_1_4_TEXT,IDEOLOGY_2,IDEOLOGY_3,IDEOLOGY_4,IDEOLOGY_4_3_TEXT,IDEOLOGY_5,IDEOLOGY_5_5_TEXT,IDEOLOGY_6,IDEOLOGY_6_5_TEXT,IDEOLOGY_7,Q314,CULTURE_1#1_1,CULTURE_1#1_2,CULTURE_1#1_3,CULTURE_1#1_4,CULTURE_1#1_5,CULTURE_1#1_6,CULTURE_1#1_7,CULTURE_1#1_8,CULTURE_1#1_9,CULTURE_1#1_10,CULTURE_1#1_11,CULTURE_2#1_1,CULTURE_2#1_2,CULTURE_2#1_3,CULTURE_2#1_4,CULTURE_2#1_5,CULTURE_2#1_6,CULTURE_2#1_7,CULTURE_2#1_8,CULTURE_2#1_9,DEMO_1,DEMO_2,DEMO_3,DEMO_4,DEMO_5,DEMO_6,DEMO_7,DEMO_8,DEMO_8_11_TEXT,DEMO_9,DEMO_10,DEMO_10_3_TEXT,DEMO_11,DEMO_12,DEMO_13,DEMO_14,DEMO_14_1,DEMO_14_1_5_TEXT,DEMO_15,opp,rid,RISN,V,Q_TotalDuration,qpmid,viga,ProjectToken,cintid,PID,psid,rnid,K2,study,med,LS,gc,term
11/11/2020 13:08,11/11/2020 13:23,1,100,878,1,11/11/2020 13:23,,,,,preview,EN,1,,,,,,,0,0,3.292,0,1,1,1,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,2",1,1,1,,1,,1,1,,1,1,2,,4,1,,1,1,,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,1,1,1,1,1,2,1,1,1,8,,,,,1,1,1,1,,1,,1,,,1,1,1,1,,1,,"1,3",,1,2,1,1,1,1,1,1,1,2,1,2,,2,,1,,1,1,1,,1,,3,,1,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,student,1,17,12203,1,,2,1,,1,2,,6,3,2,1,,,3,Qual2767-0316GenPop,,,,878,4601,,,,,,,,,,{Invalid Expression},1,
11/11/2020 14:51,11/11/2020 15:22,1,100,1856,1,11/11/2020 15:22,,,,,preview,EN,1,0,0,58.134,0,1,1,,,,,,,2,,,1,3,3,2,3,3,2,1,1,1,1,3,2,1,1,3,1,4,,,1,1,1,1,1,1,,1,1,4,4,1,1,4,1,2,5,5,5,5,2,3,3,3,1,1,,,,2,,,,,,,,2,1,1,2,1,,,,,2,1,1,2,1,2,2,1,1,1,2,1,3,2,2,1,4,1,3,4,2,2,,,1,,3,,,3,5,1,,1,1,1,,2,,8,,1,1,3,,1,2,1,1,,,4,4,1,4,4,4,1,4,2,2,,,,,,,2,,,2,2,2,2,2,6,1,1,1,"7,11",,,,,1,2,2,,,2,,1,,,1,1,2,1,,1,,"1,2",2,1,1,1,2,2,2,3,3,1,1,2,,,2,,3,,1,1,1,,5,Jill Stein,5,Howie Hawkins,1,,4,1,4,4,1,1,4,,,,,2,1,1,1,1,5,5,5,5,Professor,2,32,12077,2,,1,10,,4,1,,6,7,4,2,,,1,Qual2767-0316GenPop,,,,1856,4601,,,,,,,,,,{Invalid Expression},1,
11/13/2020 6:12,11/13/2020 6:39,0,100,1591,1,11/13/2020 6:39,,,,,anonymous,EN,1,0,0,6.655,0,2,1,,,,,,,1,,,3,3,3,3,3,3,2,2,1,2,3,3,2,2,1,3,1,4,,,3,1,1,1,1,1,,1,1,4,3,1,1,4,4,4,4,4,4,3,3,2,3,2,2,,1,,2,,,,,,,,,1,2,1,2,1,,,,,2,1,1,1,1,2,2,1,1,3,2,1,3,3,3,3,4,1,4,4,4,4,4,,1,,2,,,2,5,1,,2,1,,2,2,,"3,6,8",,2,2,6,,1,2,1,1,,,4,2,2,4,4,4,1,2,2,2,,,,,,,2,,,2,2,1,2,2,6,1,1,1,"3,7,9",,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,2,3,,1,1,2,,,2,,1,,1,1,2,,4,,3,,1,,4,2,4,4,2,2,3,,,,,4,2,2,2,4,2,4,5,4,academic,2,32,2138,2,,1,2,,2,2,,6,7,3,2,,,1,Qual2767-0316GenPop,,,,1591,4601,,,,,,,,,,{Invalid Expression},1,
11/14/2020 15:16,11/15/2020 7:23,0,100,58005,1,11/15/2020 7:23,,,,,anonymous,EN,1,16.226,16.226,32.16,1,2,1,,,,,,,1,,,1,3,3,1,3,3,2,2,1,3,3,,2,2,1,2,,3,,,1,1,2,2,1,1,,1,2,3,3,1,2,3,4,3,4,4,4,3,3,3,3,3,1,,,1,1,,,,,,,,,2,1,1,2,3,,,,,2,1,1,2,1,2,1,1,2,3,1,2,2,3,3,2,4,1,5,1,4,4,4,,8,,3,,,2,5,1,,2,2,2,,2,,"2,3,6",,1,2,5,,1,1,2,2,,,4,2,1,4,4,4,2,2,2,2,,,,,,,6,,,2,2,2,2,2,6,2,2,2,,,,,,2,2,2,,,2,,2,,,3,2,2,2,,2,,"2,5",2,1,2,1,3,3,1,3,3,2,2,2,,,2,,1,,1,1,2,,4,,3,,1,,4,2,5,3,2,4,3,,,,,4,2,1,2,4,2,4,4,2,researcher,2,29,20009,1,,1,5,,3,1,,6,6,3,2,,,1,Qual2767-0316GenPop,,,,58005,4601,,,,,,,,,,{Invalid Expression},1,
11/15/2020 10:47,11/15/2020 12:25,0,100,5887,1,11/15/2020 12:25,,,,,anonymous,EN,1,0,0,115.772,0,1,1,,,,,,,1,,,2,3,3,3,3,3,3,2,1,2,2,4,1,2,1,1,1,2,,,3,1,1,1,1,1,,1,2,4,4,1,1,4,4,3,5,4,5,4,4,3,4,2,1,,,1,,2,,,,,,,,2,1,3,2,3,,,,,2,3,4,3,1,1,1,1,2,3,2,1,2,3,3,1,4,1,3,1,4,4,4,,"1,6",,3,,,2,5,7,,3,2,,5,1,,"2,3,4",,2,1,2,,1,1,1,1,3,,4,2,4,4,4,4,2,2,2,2,,,,,,,6,,,2,2,2,2,2,6,2,2,2,,,,,,2,2,1,1,,2,,2,,,2,1,1,1,,1,,"4,5",4,1,4,2,3,3,2,3,3,2,2,2,,,1,1,3,,2,1,3,,4,,3,,1,,3,2,4,3,3,3,1,,,,,5,2,1,1,5,1,2,2,4,Retired,2,60,77382,2,,1,11,Personal beliefs and following the Golden Rule.,3,1,,5,4,3,2,,,1,Qual2767-0316GenPop,,,,5887,4601,,,,,,,,,,{Invalid Expression},1,
11/16/2020 7:36,11/16/2020 8:19,0,100,2575,1,11/16/2020 8:19,,,,,anonymous,EN,1,,,,,,,14.741,59.484,76.36,4,1,1,2,,,1,3,2,1,3,3,3,2,2,2,1,4,2,2,1,2,1,2,1,,1,1,1,1,1,1,,2,1,4,3,2,2,3,3,3,3,3,4,4,3,,,3,1,1,,,3,,,,,,,,,1,1,1,2,,,,,,2,,1,2,1,2,2,2,1,2,2,2,2,3,3,2,4,1,2,1,4,,4,,"1,6",,3,,,2,5,1,,1,1,,2,,,"3,4,6",,2,2,,,1,1,1,1,,,4,4,3,4,4,4,2,2,3,2,,,,2,2,2,3,,,2,2,2,2,2,6,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,2,3,3,1,1,2,,,2,,1,,1,2,,,4,,3,,1,,4,2,4,4,4,4,4,,,,,4,2,2,1,4,4,4,4,4,professor,2,35,12203,2,,1,9,,4,1,,6,5,3,2,,,1,Qual2767-0316GenPop,,,,2575,4601,,,,,,,,,,{Invalid Expression},1,
11/19/2020 12:12,11/19/2020 12:24,0,100,738,1,11/19/2020 12:24,,,,,anonymous,EN,1,,,,,,,13.591,13.591,14.602,1,1,1,1,,,1,3,2,2,2,2,3,1,1,2,3,3,2,1,2,2,1,2,1,,2,2,1,2,2,1,,2,2,1,2,2,2,1,1,2,1,2,2,3,3,3,3,1,2,,2,,,2,,,,,,,,1,2,2,1,2,,,,,2,2,1,3,2,2,1,2,2,1,2,2,2,1,1,3,4,3,2,2,2,2,2,,"1,5",,3,"1,8",,2,1,5,,3,1,,1,2,,3,,1,1,2,,1,3,1,2,4,,2,2,1,2,2,3,3,2,2,3,,,,2,1,2,1,2,sacadds   rwvwrew,1,2,1,1,2,2,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,3,1,3,,1,,1,,1,1,2,,3,,2,,1,,1,2,3,3,1,1,2,,,,,1,2,2,2,2,1,3,2,3,sfwvrvrwce,2,19,10001,1,,1,2,,2,2,,3,3,2,2,,,1,Qual22501-0824-NYState,,,,738,4601,,795f8357-d473-4f6d-b890-504bba085ba5,,300112,h_dWywViDnon_--xN4At1w**,,31833,,4510651527,{Invalid Expression},1,
11/19/2020 21:25,11/19/2020 21:54,1,100,1787,1,11/19/2020 21:54,,,,,preview,EN,1,,,,,,,0,0,7.334,0,1,1,1,To get back to life as normal,,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,,,1,2,,,,,,,,,3,1,1,2,1,,,,,2,1,1,3,1,2,2,1,1,1,1,1,2,1,1,2,4,1,3,4,1,1,4,,1,,3,8,,3,5,1,,1,1,1,,2,,"4,6,8",,1,1,3,,1,2,1,1,,,4,4,1,4,4,4,1,4,1,1,,,,2,2,1,1,3,,2,2,2,2,2,6,1,1,1,"7,11",5,No kids under age 5,,,1,2,2,,,2,,1,,,1,1,2,1,,1,1,"1,6","1,2",1,1,2,1,3,1,3,3,1,1,1,3,,2,,3,,1,1,1,,5,howie Hawkins,5,,1,,5,1,5,5,1,1,5,,,,,4,1,3,2,5,5,5,5,5,Professor,2,32,12077,2,,1,10,,4,1,,6,7,4,2,,,1,Qual22501-0824-NYState,,,,1787,4601,,795f8357-d473-4f6d-b890-504bba085ba5,,,,,,,{Invalid Expression},{Invalid Expression},1,
11/20/2020 12:53,11/20/2020 13:34,0,100,2471,1,11/20/2020 13:34,,,,,anonymous,EN,1,1.495,7.814,41.827,2,"1,2",1,,,,,,,2,So I don’t get Covid ,,1,2,2,2,3,3,1,1,1,1,2,2,2,2,2,4,2,2,2,2,1,2,2,2,2,,,2,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,1,,,,2,,,,,,,,4,2,3,2,1,1,2,1,1,3,1,1,4,3,2,2,1,1,2,2,1,3,2,2,4,3,4,4,4,2,2,4,,1,,3,8,,1,5,1,,1,2,1,,2,,8,,1,3,6,World Socialist Website ,3,3,2,1,12,,3,2,4,4,4,4,2,2,2,2,,,,2,2,1,3,,,2,2,2,2,2,6,1,4,1,"8,10",5,I don’t have kids under 5,,,1,2,2,,,2,,1,,,3,1,1,3,,1,1,"1,2",1,2,1,1,1,2,2,2,3,1,1,2,,,2,,4,Socialist ,1,1,1,,3,,5,Joseph Kishore,3,,2,2,4,2,2,2,3,,,,,3,1,5,5,1,5,1,5,3,Sales,2,35,6905,2,3,1,4,,2,2,,5,8,4,2,,,1,Qual22501-0824-NYState,,,,2471,4601,,795f8357-d473-4f6d-b890-504bba085ba5,,,,,,,{Invalid Expression},{Invalid Expression},1,
11/22/2020 13:41,11/22/2020 14:31,0,100,3001,1,11/22/2020 14:31,,,,,anonymous,EN,1,,,,,,,2.439,34.491,55.755,4,1,1,1,I have underlying health conditions (heart & diabetes); and two of my grown children need to spend the night from time because of business meetings in nearby cities.,,2,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,4,4,1,1,3,3,5,5,5,5,5,4,3,4,3,1,,1,,1,,,,,,,,,1,1,1,2,1,3,2,3,1,2,3,2,2,1,1,1,1,1,3,2,1,3,3,3,1,4,1,2,4,4,4,4,,8,,3,8,,2,3,7,,3,2,,4,1,,"3,4,6",,3,1,4,,1,2,1,3,"1,2,9",,4,4,3,4,4,4,4,2,2,2,,,,2,2,2,3,,,2,2,2,2,2,6,1,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,2,,,2,,1,,2,1,2,,5,Bernie Saunders,3,,3,,3,2,4,3,2,4,3,3,2,3,5,4,1,2,1,3,2,2,2,4,Retired professor,2,65,6268,2,4,1,1,,1,1,,6,7,3,2,,,1,Qual22501-0824-NYState,,,,3001,4601,,795f8357-d473-4f6d-b890-504bba085ba5,,,,,,,{Invalid Expression},{Invalid Expression},1,
